source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,"@JoshuaEnglishh: @realDonaldTrump  every single real American needs to read #CrippledAmerica ! Beyond awesome I couldn't be more thrilled",11-04-2015 06:13:47,787,1816,false,661788411578175488
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/f9ujgy3NSk,11-04-2015 06:26:38,1622,3519,false,661791645088808960
Twitter for iPhone,Wow! @FoxNews poll just came out. #1 with 26%! Almost as importantly I am the strongest on economic issues by far! #Trump2016,11-04-2015 23:18:58,1937,4371,false,662046407113732096
Twitter for iPhone,I will unveil my first campaign ads on @Morning_Joe at 6:30am tomorrow. Enjoy! #MakeAmericaGreatAgain,11-04-2015 23:24:03,1312,2726,false,662047688620417024
Twitter for iPhone,Also tune in to the @TodayShow at 7:00am. I will be on to discuss the campaign my new ads and #CrippledAmerica.,11-04-2015 23:24:55,979,2273,false,662047905520467968
Twitter for iPhone,Rubio lied about my meeting w/ Hispanic activists. I didn’t change my opinion but treated them w/ respect. Shame! https://t.co/O9Kgfi5xcH,11-05-2015 23:30:32,1820,3316,false,662411704979095552
Twitter for iPhone,With Ben Carson wanting to hit his mother on head with a hammer stab a friend and Pyramids built for grain storage - don't people get it?,11-06-2015 14:08:17,3005,3366,false,662632599962173440
Twitter for iPhone,Carson now admits his friend named "Bob" who he tried to stab (Bob was saved by his belt buckle!) no longer exists as Bob. Wrong name!,11-06-2015 14:08:41,1022,2137,false,662632702227648512
Twitter for iPhone,Getting ready for @nbcsnl commercial. https://t.co/asHECYFBRv,11-06-2015 17:24:48,1882,4326,false,662682056590237696
Twitter for iPhone,Great job on @Greta @DonaldJTrumpJr. Nobody could have done it better!,11-10-2015 00:27:15,882,2380,false,663875531163746305
Twitter for iPhone,A great evening in Springfield Illinois. Thank you for all of the support! #Trump2016 https://t.co/mqOfuI08PX,11-10-2015 03:21:35,1556,3394,false,663919402367262720
Twitter for iPhone,Marco Rubio is a total lightweight who I wouldn’t hire to run one of my smaller companies - a highly overrated politician!,11-10-2015 03:35:35,1881,4246,false,663922928766091264
Twitter for iPhone,Marco Rubio couldn't even respond properly to President Obama's State of the Union Speech without pouring sweat &amp; chugging water. He choked!,11-10-2015 03:37:37,1166,2650,false,663923439120596993
Twitter for iPhone,Marco Rubio is totally weak on illegal immigration &amp; in favor of easy amnesty. A lightweight choker - bad for #USA!,11-10-2015 03:39:14,1675,3063,false,663923846949548032
Twitter for iPhone,Thank you to @NYPost's Robert Rorke for the really nice review of #SNL. So many enjoyed it - very gratifying! https://t.co/TT29WgelUT,11-10-2015 04:03:39,822,2114,false,663929989319012352
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/arJERjlYCO,11-10-2015 04:42:27,1673,3125,false,663939755982368768
Twitter for iPhone,Thank you New Jersey! #Trump2016 https://t.co/YUIBEP7JcZ,11-10-2015 17:42:27,1542,3109,false,664136046960099328
